Name,Category,Total Time (us),Average Time per Event (us),Count
PyTorch Profiler (0),Trace,235968.191,235968.191,1
threading.py(1032): _bootstrap,python_function,235905.571,235905.571,1
threading.py(1075): _bootstrap_inner,python_function,235904.537,235904.537,1
tqdm/_monitor.py(60): run,python_function,235902.782,235902.782,1
threading.py(655): wait,python_function,235902.132,235902.132,1
threading.py(359): wait,python_function,235900.932,235900.932,1
ECS251.py(114): <module>,python_function,235897.368,235897.368,1
torch/nn/modules/module.py(1743): _call_impl,python_function,194478.677,296.0101629,657
accelerate/data_loader.py(576): __iter__,python_function,107425.508,35808.50267,3
<built-in method to of Tensor object at 0x7fb1193e9a40>,python_function,100848.687,4202.028625,24
accelerate/utils/operations.py(135): send_to_device,python_function,100825.812,33608.604,3
transformers/tokenization_utils_base.py(802): to,python_function,100796.487,33598.829,3
aten::to,cpu_op,100464.263,531.5569471,189
aten::copy_,cpu_op,100249.957,1193.451869,84
aten::_to_copy,cpu_op,100155.149,4173.131208,24
cudaStreamSynchronize,cuda_runtime,99171.975,8264.33125,12
ProfilerStep#2,user_annotation,74332.953,74332.953,1
ProfilerStep#4,user_annotation,66860.025,66860.025,1
ProfilerStep#3,user_annotation,60105.821,60105.821,1
torch/_tensor.py(570): backward,python_function,58085.232,19361.744,3
torch/autograd/__init__.py(242): backward,python_function,58060.06,19353.35333,3
torch/autograd/graph.py(814): _engine_run_backward,python_function,57837.227,19279.07567,3
<built-in method run_backward of torch._C._EngineBase object at 0x7fb29e8df0a0>,python_function,57815.043,19271.681,3
"fmha_cutlassB_f32_aligned_64x64_k64_sm80(PyTorchMemEffAttention::AttentionBackwardKernel<cutlass::arch::Sm80, float, true, false, false, 64, 64, 64, false>::Params)",kernel,40817.78,887.3430435,46
nn.Module: BertForSequenceClassification_0,python_function,34987.104,11662.368,3
transformers/models/bert/modeling_bert.py(1636): forward,python_function,34957.874,11652.62467,3
torch/profiler/profiler.py(811): step,python_function,34607.984,11535.99467,3
torch/profiler/profiler.py(848): _transit_action,python_function,34301.766,11433.922,3
torch/profiler/profiler.py(235): stop_trace,python_function,34284.064,34284.064,1
torch/autograd/profiler.py(363): __exit__,python_function,34281.208,34281.208,1
torch/cuda/__init__.py(975): synchronize,python_function,34276.341,34276.341,1
<built-in function _cuda_synchronize>,python_function,34149.538,34149.538,1
cudaDeviceSynchronize,cuda_runtime,34128.042,34128.042,1
nn.Module: BertModel_0,python_function,33868.3,11289.43333,3
transformers/models/bert/modeling_bert.py(1001): forward,python_function,33827.252,11275.75067,3
void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(cutlass_80_simt_sgemm_256x128_8x4_nn_align1::Params),kernel,32798.762,140.7672189,233
nn.Module: BertEncoder_0,python_function,29849.422,9949.807333,3
transformers/models/bert/modeling_bert.py(651): forward,python_function,29828.029,9942.676333,3
transformers/models/bert/modeling_bert.py(573): forward,python_function,29371.589,815.8774722,36
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_nt_align1>(cutlass_80_simt_sgemm_128x256_8x4_nt_align1::Params),kernel,28675.726,311.6926739,92
ampere_sgemm_128x128_tn,kernel,27640.975,383.9024306,72
ProfilerStep#2,gpu_user_annotation,25392.539,25392.539,1
ProfilerStep#4,gpu_user_annotation,24347.306,24347.306,1
ProfilerStep#3,gpu_user_annotation,23335.969,23335.969,1
autograd::engine::evaluate_function: AddmmBackward0,cpu_op,20649.84,93.0172973,222
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nt_align1>(cutlass_80_simt_sgemm_128x64_8x5_nt_align1::Params),kernel,18073.048,95.12130526,190
transformers/models/bert/modeling_bert.py(505): forward,python_function,18031.25,500.8680556,36
ampere_sgemm_128x64_tn,kernel,15946.744,110.7412778,144
ampere_sgemm_128x64_nn,kernel,15726.43,341.878913,46
AddmmBackward0,cpu_op,13392.043,60.32451802,222
cudaLaunchKernel,cuda_runtime,12918.071,6.341713795,2037
torch/nn/modules/linear.py(124): forward,python_function,12412.914,55.91402703,222
transformers/models/bert/modeling_bert.py(364): forward,python_function,12322.058,342.2793889,36
<built-in function linear>,python_function,12086.037,54.44160811,222
"fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEffAttention::AttentionKernel<float, cutlass::arch::Sm80, true, 64, 64, 64, true, true>::Params)",kernel,11256.551,312.6819722,36
aten::linear,cpu_op,11225.02,50.56315315,222
transformers/pytorch_utils.py(185): apply_chunking_to_forward,python_function,11023.978,306.2216111,36
aten::mm,cpu_op,9529.428,21.46267568,444
transformers/models/bert/modeling_bert.py(638): feed_forward_chunk,python_function,9105.175,252.9215278,36
autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,cpu_op,8628.355,14.30904643,603
aten::addmm,cpu_op,8354.057,37.63088739,222
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",kernel,7718.695,7.450477799,1036
torch::autograd::AccumulateGrad,cpu_op,7327.877,12.1523665,603
aten::add_,cpu_op,7131.821,9.509094667,750
aten::sum,cpu_op,6648.836,25.47446743,261
<built-in function next>,python_function,6608.499,734.2776667,9
torch/utils/data/dataloader.py(703): __next__,python_function,6559.611,2186.537,3
autograd::engine::evaluate_function: ScaledDotProductEfficientAttentionBackward0,cpu_op,6529.75,181.3819444,36
enumerate(DataLoader)#_SingleProcessDataLoaderIter.__next__,user_annotation,6462.521,2154.173667,3
"void at::native::vectorized_elementwise_kernel<4, at::native::GeluBackwardCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float, float)#1}, std::array<char*, 3ul> >(int, at::native::GeluBackwardCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float, float)#1}, std::array<char*, 3ul>)",kernel,6355.126,138.154913,46
torch/utils/data/dataloader.py(762): _next_data,python_function,6294.017,2098.005667,3
ScaledDotProductEfficientAttentionBackward0,cpu_op,6097.228,169.3674444,36
aten::_scaled_dot_product_efficient_attention_backward,cpu_op,5908.477,164.1243611,36
torch/utils/data/_utils/fetch.py(47): fetch,python_function,5608.49,1869.496667,3
transformers/models/bert/modeling_bert.py(465): forward,python_function,5282.81,146.7447222,36
transformers/models/bert/modeling_bert.py(551): forward,python_function,5260.785,146.1329167,36
aten::_efficient_attention_backward,cpu_op,4866.714,135.1865,36
autograd::engine::evaluate_function: ViewBackward0,cpu_op,4367.284,7.542804836,579
cudaMemsetAsync,cuda_runtime,4316.184,5.065943662,852
aten::t,cpu_op,4160.851,3.748514414,1110
transformers/models/bert/modeling_bert.py(538): forward,python_function,3478.183,96.61619444,36
torch/nn/modules/normalization.py(216): forward,python_function,3429.87,45.7316,75
aten::transpose,cpu_op,3389.04,2.053963636,1650
torch/nn/functional.py(2889): layer_norm,python_function,3254.919,43.39892,75
nn.Module: BertLayer_0,python_function,3132.67,1044.223333,3
"void at::native::vectorized_elementwise_kernel<4, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",kernel,3098.928,86.08133333,36
<built-in method layer_norm of type object at 0x7fb2964778e0>,python_function,3070.39,40.93853333,75
datasets/arrow_dataset.py(2782): __getitems__,python_function,2973.665,991.2216667,3
nn.Module: BertLayer_11,python_function,2927.159,975.7196667,3
inspect.py(2501): _signature_from_callable,python_function,2908.048,40.38955556,72
"void at::native::reduce_kernel<128, 4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4>)",kernel,2874.313,10.05004545,286
nn.Module: BertLayer_10,python_function,2859.216,953.072,3
aten::empty,cpu_op,2747.231,2.502031876,1098
nn.Module: BertLayer_6,python_function,2705.328,901.776,3
transformers/data/data_collator.py(270): __call__,python_function,2613.777,871.259,3
transformers/data/data_collator.py(52): pad_without_fast_tokenizer_warning,python_function,2599.086,866.362,3
aten::layer_norm,cpu_op,2594.675,34.59566667,75
<built-in function scaled_dot_product_attention>,python_function,2566.03,71.27861111,36
transformers/tokenization_utils_base.py(3211): pad,python_function,2548.726,849.5753333,3
datasets/arrow_dataset.py(2778): __getitem__,python_function,2465.378,821.7926667,3
autograd::engine::evaluate_function: NativeLayerNormBackward0,cpu_op,2464.914,32.86552,75
datasets/arrow_dataset.py(2750): _getitem,python_function,2436.526,812.1753333,3
nn.Module: BertLayer_4,python_function,2417.419,805.8063333,3
aten::native_layer_norm,cpu_op,2394.904,31.93205333,75
nn.Module: BertLayer_2,python_function,2367.279,789.093,3
nn.Module: BertLayer_1,python_function,2366.07,788.69,3
nn.Module: BertLayer_7,python_function,2253.309,751.103,3
nn.Module: BertLayer_9,python_function,2240.188,746.7293333,3
aten::scaled_dot_product_attention,cpu_op,2200.742,61.13172222,36
nn.Module: BertLayer_3,python_function,2152.72,717.5733333,3
nn.Module: BertLayer_8,python_function,2137.224,712.408,3
nn.Module: BertAttention_0,python_function,2040.732,680.244,3
nn.Module: BertAttention_11,python_function,2030.639,676.8796667,3
aten::view,cpu_op,2002.819,1.286332049,1557
NativeLayerNormBackward0,cpu_op,1996.951,26.62601333,75
datasets/formatting/formatting.py(602): format_table,python_function,1959.323,653.1076667,3
nn.Module: BertLayer_5,python_function,1936.557,645.519,3
cuLaunchKernel,cuda_driver,1918.362,4.772044776,402
<built-in method tensor of type object at 0x7fb2964778e0>,python_function,1837.849,102.1027222,18
datasets/formatting/formatting.py(401): __call__,python_function,1837.643,612.5476667,3
autograd::engine::evaluate_function: EmbeddingBackward0,cpu_op,1835.154,203.906,9
datasets/formatting/torch_formatter.py(118): format_batch,python_function,1833.957,611.319,3
EmbeddingBackward0,cpu_op,1794.143,199.3492222,9
nn.Module: BertAttention_10,python_function,1793.469,597.823,3
aten::embedding_backward,cpu_op,1778.927,197.6585556,9
transformers/models/bert/modeling_bert.py(250): transpose_for_scores,python_function,1771.524,16.403,108
aten::embedding_dense_backward,cpu_op,1766.946,196.3273333,9
inspect.py(3343): signature,python_function,1736.946,48.2485,36
nn.Module: BertAttention_6,python_function,1724.763,574.921,3
inspect.py(3081): from_callable,python_function,1705.185,47.36625,36
aten::native_layer_norm_backward,cpu_op,1665.88,22.21173333,75
aten::_scaled_dot_product_efficient_attention,cpu_op,1651.923,45.88675,36
aten::reshape,cpu_op,1651.233,1.965753571,840
autograd::engine::evaluate_function: TBackward0,cpu_op,1639.787,7.386427928,222
"void at::native::(anonymous namespace)::layer_norm_grad_input_kernel_vectorized<float, float>(float const*, float const*, float const*, float const*, float const*, float*, int)",kernel,1628.689,16.96551042,96
nn.Module: BertEmbeddings_0,python_function,1520.606,506.8686667,3
nn.Module: BertSdpaSelfAttention_0,python_function,1518.299,506.0996667,3
transformers/utils/generic.py(256): to_py_obj,python_function,1508.801,18.62717284,81
transformers/models/bert/modeling_bert.py(181): forward,python_function,1494.618,498.206,3
nn.Module: BertAttention_9,python_function,1432.047,477.349,3
transformers/tokenization_utils_base.py(221): __init__,python_function,1419.314,473.1046667,3
ViewBackward0,cpu_op,1401.839,2.421138169,579
transformers/tokenization_utils_base.py(699): convert_to_tensors,python_function,1390.667,463.5556667,3
nn.Module: BertAttention_2,python_function,1388.455,462.8183333,3
aten::add,cpu_op,1384.578,18.46104,75
nn.Module: BertSdpaSelfAttention_10,python_function,1371.981,457.327,3
nn.Module: BertAttention_3,python_function,1365.818,455.2726667,3
"void at::native::(anonymous namespace)::GammaBetaBackwardCUDAKernel_32x32<float, float>(long, long, float const*, float const*, float const*, float const*, float*, float*)",kernel,1354.627,14.11069792,96
nn.Module: BertSdpaSelfAttention_11,python_function,1344.322,448.1073333,3
transformers/tokenization_utils_base.py(736): as_tensor,python_function,1344.288,149.3653333,9
nn.Module: BertAttention_7,python_function,1324.048,441.3493333,3
nn.Module: BertAttention_1,python_function,1318.277,439.4256667,3
nn.Module: BertSdpaSelfAttention_6,python_function,1305.281,435.0936667,3
nn.Module: BertAttention_4,python_function,1284.44,428.1466667,3
transformers/modeling_attn_mask_utils.py(429): _prepare_4d_attention_mask_for_sdpa,python_function,1279.38,426.46,3
nn.Module: BertAttention_8,python_function,1266.354,422.118,3
Unrecognized,overhead,1258.708,1258.708,1
nn.Module: BertAttention_5,python_function,1166.896,388.9653333,3
torch/utils/data/_utils/pin_memory.py(62): pin_memory,python_function,1139.226,94.9355,12
datasets/formatting/torch_formatter.py(103): recursive_tensorize,python_function,1114.23,371.41,3
datasets/utils/py_utils.py(408): map_nested,python_function,1103.891,367.9636667,3
aten::as_strided,cpu_op,1047.867,0.5114040996,2049
TBackward0,cpu_op,1044.739,4.706031532,222
aten::_efficient_attention_forward,cpu_op,1030.853,28.63480556,36
<built-in method view of Tensor object at 0x7fb1181f80f0>,python_function,1002.314,8.79222807,114
autograd::engine::evaluate_function: PermuteBackward0,cpu_op,1002.194,9.279574074,108
nn.Module: BertSdpaSelfAttention_9,python_function,987.304,329.1013333,3
inspect.py(2397): _signature_from_function,python_function,977.875,27.16319444,36
nn.Module: BertSdpaSelfAttention_7,python_function,948.374,316.1246667,3
nn.Module: BertSdpaSelfAttention_8,python_function,898.244,299.4146667,3
nn.Module: BertSdpaSelfAttention_3,python_function,879.388,293.1293333,3
nn.Module: BertSdpaSelfAttention_4,python_function,878.763,292.921,3
nn.Module: BertSdpaSelfAttention_2,python_function,870.534,290.178,3
"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)",kernel,867.772,11.57029333,75
aten::clone,cpu_op,852.641,18.94757778,45
transformers/activations.py(77): forward,python_function,816.749,22.68747222,36
torch/nn/modules/dropout.py(69): forward,python_function,802.483,10.28824359,78
<built-in function gelu>,python_function,781.421,21.70613889,36
autograd::engine::evaluate_function: GeluBackward0,cpu_op,772.098,21.44716667,36
aten::zero_,cpu_op,738.617,13.67809259,54
torch/nn/functional.py(1401): dropout,python_function,737.745,9.458269231,78
transformers/modeling_attn_mask_utils.py(180): _expand_mask,python_function,729.146,243.0486667,3
nn.Module: BertSdpaSelfAttention_1,python_function,720.503,240.1676667,3
aten::contiguous,cpu_op,702.516,18.01323077,39
nn.Module: BertSdpaSelfAttention_5,python_function,691.214,230.4046667,3
aten::fill_,cpu_op,687.657,12.06415789,57
torch/nn/modules/sparse.py(189): forward,python_function,685.873,76.20811111,9
aten::gelu,cpu_op,685.647,19.04575,36
datasets/formatting/formatting.py(164): extract_batch,python_function,683.283,227.761,3
nn.Module: BertSelfOutput_11,python_function,662.329,220.7763333,3
datasets/utils/py_utils.py(364): _single_map_nested,python_function,657.418,73.04644444,9
PermuteBackward0,cpu_op,656.817,6.081638889,108
torch/nn/functional.py(2437): embedding,python_function,655.385,72.82055556,9
datasets/formatting/torch_formatter.py(89): _recursive_tensorize,python_function,647.459,71.93988889,9
<built-in method embedding of type object at 0x7fb2964778e0>,python_function,640.057,71.11744444,9
datasets/formatting/formatting.py(167): _arrow_array_to_numpy,python_function,626.276,69.58622222,9
aten::embedding,cpu_op,605.692,67.29911111,9
datasets/formatting/torch_formatter.py(49): _tensorize,python_function,598.143,66.46033333,9
aten::permute,cpu_op,590.729,2.734856481,216
torch/nn/modules/module.py(1915): __getattr__,python_function,580.896,0.4665831325,1245
nn.Module: BertSelfOutput_1,python_function,573.421,191.1403333,3
GeluBackward0,cpu_op,555.432,15.42866667,36
nn.Module: BertOutput_4,python_function,536.514,178.838,3
nn.Module: BertOutput_0,python_function,535.089,178.363,3
<built-in method pin_memory of Tensor object at 0x7fb118207430>,python_function,530.518,58.94644444,9
nn.Module: BertOutput_7,python_function,496.153,165.3843333,3
nn.Module: BertSelfOutput_2,python_function,493.834,164.6113333,3
Memset (Device),gpu_memset,493.392,0.4694500476,1051
aten::gelu_backward,cpu_op,491.552,13.65422222,36
nn.Module: BertSelfOutput_0,python_function,487.291,162.4303333,3
nn.Module: BertOutput_11,python_function,480.822,160.274,3
nn.Module: BertOutput_6,python_function,475.204,158.4013333,3
<built-in method permute of Tensor object at 0x7fb1181f81e0>,python_function,470.351,4.355101852,108
nn.Module: BertOutput_1,python_function,463.927,154.6423333,3
torch/nn/modules/loss.py(1294): forward,python_function,459.915,153.305,3
aten::mul,cpu_op,458.288,12.73022222,36
nn.Module: BertSelfOutput_3,python_function,458.254,152.7513333,3
nn.Module: BertSelfOutput_5,python_function,454.557,151.519,3
torch/nn/functional.py(3404): cross_entropy,python_function,451.891,150.6303333,3
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4>)",kernel,448.386,9.747521739,46
transformers/utils/generic.py(262): <lambda>,python_function,442.649,6.147902778,72
<built-in function cross_entropy_loss>,python_function,440.824,146.9413333,3
nn.Module: BertOutput_10,python_function,439.569,146.523,3
nn.Module: BertIntermediate_10,python_function,429.066,143.022,3
nn.Module: BertSelfOutput_9,python_function,421.842,140.614,3
aten::cross_entropy_loss,cpu_op,421.607,140.5356667,3
nn.Module: BertOutput_9,python_function,408.202,136.0673333,3
datasets/formatting/formatting.py(559): query_table,python_function,406.251,135.417,3
nn.Module: Linear_67,python_function,405.296,135.0986667,3
nn.Module: BertSelfOutput_10,python_function,397.01,132.3366667,3
nn.Module: BertSelfOutput_6,python_function,396.09,132.03,3
nn.Module: BertOutput_2,python_function,395.396,131.7986667,3
nn.Module: Linear_36,python_function,391.195,130.3983333,3
nn.Module: BertPooler_0,python_function,390.467,130.1556667,3
nn.Module: BertOutput_5,python_function,384.91,128.3033333,3
nn.Module: BertSelfOutput_4,python_function,384.527,128.1756667,3
nn.Module: BertOutput_3,python_function,376.545,125.515,3
"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul>)",kernel,375.258,8.157782609,46
nn.Module: BertOutput_8,python_function,367.609,122.5363333,3
nn.Module: BertIntermediate_1,python_function,367.372,122.4573333,3
nn.Module: BertIntermediate_2,python_function,361.943,120.6476667,3
nn.Module: BertSelfOutput_7,python_function,353.687,117.8956667,3
aten::index_select,cpu_op,351.689,39.07655556,9
nn.Module: BertSelfOutput_8,python_function,346.579,115.5263333,3
nn.Module: BertIntermediate_4,python_function,346.023,115.341,3
nn.Module: Linear_0,python_function,337.751,112.5836667,3
transformers/models/bert/modeling_bert.py(743): forward,python_function,334.637,111.5456667,3
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",kernel,333.706,13.90441667,24
autograd::engine::evaluate_function: AddBackward0,cpu_op,330.07,4.231666667,78
aten::pin_memory,cpu_op,320.479,35.60877778,9
nn.Module: CrossEntropyLoss_0,python_function,320.11,320.11,1
nn.Module: Embedding_1,python_function,318.466,106.1553333,3
nn.Module: BertIntermediate_6,python_function,317.9,105.9666667,3
aten::nll_loss_nd,cpu_op,316.876,105.6253333,3
torch/autograd/profiler.py(757): __exit__,python_function,316.191,52.6985,6
nn.Module: Linear_64,python_function,313.241,104.4136667,3
aten::nll_loss,cpu_op,310.545,103.515,3
<string>(2): __init__,python_function,299.947,33.32744444,9
<built-in method dropout of type object at 0x7fb2964778e0>,python_function,297.797,3.817910256,78
nn.Module: BertIntermediate_8,python_function,296.912,98.97066667,3
nn.Module: Linear_29,python_function,295.498,98.49933333,3
datasets/formatting/formatting.py(81): _query_table,python_function,292.628,97.54266667,3
nn.Module: Linear_37,python_function,291.792,97.264,3
<built-in function isinstance>,python_function,290.058,0.2280330189,1272
nn.Module: Linear_66,python_function,289.755,96.585,3
aten::empty_like,cpu_op,284.684,4.744733333,60
nn.Module: BertIntermediate_0,python_function,282.223,94.07433333,3
cudaMemcpyAsync,cuda_runtime,278.701,15.48338889,18
nn.Module: LayerNorm_3,python_function,274.431,91.477,3
"void at_cuda_detail::cub::DeviceRadixSortOnesweepKernel<at_cuda_detail::cub::DeviceRadixSortPolicy<long, at::cuda::cub::detail::OpaqueType<8>, unsigned long long>::Policy900, false, long, at::cuda::cub::detail::OpaqueType<8>, unsigned long long, int, int, at_cuda_detail::cub::detail::identity_decomposer_t>(int*, int*, unsigned long long*, unsigned long long const*, long*, long const*, at::cuda::cub::detail::OpaqueType<8>*, at::cuda::cub::detail::OpaqueType<8> const*, int, int, int, at_cuda_detail::cub::detail::identity_decomposer_t)",kernel,273.858,4.27903125,64
<built-in method transpose of Tensor object at 0x7fb1181f83c0>,python_function,272.094,7.558166667,36
nn.Module: Linear_24,python_function,271.175,90.39166667,3
nn.Module: Linear_10,python_function,269.558,89.85266667,3
nn.Module: Embedding_0,python_function,262.584,87.528,3
nn.Module: BertIntermediate_11,python_function,260.197,86.73233333,3
<built-in method reshape of Tensor object at 0x7fb1181f8370>,python_function,259.614,7.2115,36
autograd::engine::evaluate_function: NllLossBackward0,cpu_op,259.612,86.53733333,3
aten::_pin_memory,cpu_op,257.087,28.56522222,9
nn.Module: BertIntermediate_3,python_function,257.003,85.66766667,3
datasets/utils/tqdm.py(111): __init__,python_function,256.3,85.43333333,3
nn.Module: Linear_43,python_function,254.147,84.71566667,3
autograd::engine::evaluate_function: TransposeBackward0,cpu_op,252.51,7.014166667,36
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<unsigned char>, std::array<char*, 1ul> >(int, at::native::FillFunctor<unsigned char>, std::array<char*, 1ul>)",kernel,251.454,5.466391304,46
nn.Module: BertIntermediate_7,python_function,250.414,83.47133333,3
torch/_ops.py(946): __call__,python_function,249.858,41.643,6
nn.Module: Linear_69,python_function,249.203,83.06766667,3
<built-in method masked_fill of Tensor object at 0x7fb118207d40>,python_function,245.217,81.739,3
aten::is_nonzero,cpu_op,239.514,79.838,3
transformers/utils/generic.py(362): __post_init__,python_function,236.811,26.31233333,9
nn.Module: Linear_40,python_function,234.188,78.06266667,3
aten::item,cpu_op,233.64,77.88,3
aten::masked_fill,cpu_op,232.313,77.43766667,3
<built-in method _get_tracing_state of PyCapsule object at 0x7fb21a104240>,python_function,231.344,0.3505212121,660
inspect.py(3029): __init__,python_function,229.726,3.190638889,72
